cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;177.05;28;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;72.35;5;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;81.9;10;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;17.97;3;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;115.76;8;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;171.99;21;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;65.89;11;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;159.17;11;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;343.98;42;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;275.54;46;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;177.24;12;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;418.5;50;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;132.09;21;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;118.16;8;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;167.4;20;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;56.61;9;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;86.82;6;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;212.94;26;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;85.09;14;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;103.39;7;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;251.1;30;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;100.64;16;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;88.62;6;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;242.73;29;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;56.61;9;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;162.47;11;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;451.98;54;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;207.57;33;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;73.85;5;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;301.32;36;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;106.93;17;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;86.82;6;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;114.66;14;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;53.91;9;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;14.29;1;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;39.95;5;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;143.01;24;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;285.8;20;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;271.66;34;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;227.62;38;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;115.76;8;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;278.46;34;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;53.91;9;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;14.78;2;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;96.07;13;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;194.74;26;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;89.57;12;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;67.41;9;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;118.24;16;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;140.41;19;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;376.75;50;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;36.95;5;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;133.02;18;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;125.63;17;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;89.88;12;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;127.33;17;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;59.12;8;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;82.39;11;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;322.07;43;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;194.74;26;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;112.5;15;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;66.51;9;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;251.26;34;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;258.65;35;
